theta	torque1_before	torque2_before	torque1_after	torque2_after
0.234	19.162628459784493	-1.4937502950118642e-6	19.162628459784493	-1.4937502950118642e-6
0.23425	19.202407696130468	-1.5012873788577963e-6	19.202407696130468	-1.5012873788577963e-6
0.2345	19.242329028782876	-1.5089111204957817e-6	19.242329028782876	-1.5089111204957817e-6
0.23475000000000001	19.28239305021078	-1.5165110536230486e-6	19.28239305021078	-1.5165110536230486e-6
0.23500000000000001	19.322600236224098	-1.52413471887769e-6	19.322600236224098	-1.52413471887769e-6
0.23525000000000001	19.362951362582972	-1.5318150143883713e-6	19.362951362582972	-1.5318150143883713e-6
0.23550000000000001	19.403446965959105	-1.5394743435592773e-6	19.403446965959105	-1.5394743435592773e-6
0.23575	19.444087646452687	-1.547186501582587e-6	19.444087646452687	-1.547186501582587e-6
0.23600000000000002	19.484873981031857	-1.5548960767830522e-6	19.484873981031857	-1.5548960767830522e-6
0.23625000000000002	19.525806582838833	-1.562650066233573e-6	19.525806582838833	-1.562650066233573e-6
0.23650000000000002	19.56688622366881	-1.5704346143508019e-6	19.56688622366881	-1.5704346143508019e-6
0.23675000000000002	19.608113337211734	-1.5782022408927787e-6	19.608113337211734	-1.5782022408927787e-6
0.237	19.64948861617144	-1.58603641509103e-6	19.64948861617144	-1.58603641509103e-6
0.23725000000000002	19.691012759776697	-1.5938657842440307e-6	19.691012759776697	-1.5938657842440307e-6
0.2375	19.73268624600106	-1.6017319968142374e-6	19.73268624600106	-1.6017319968142374e-6
0.23775000000000002	19.77450988772381	-1.6096223056649706e-6	19.77450988772381	-1.6096223056649706e-6
0.23800000000000002	19.816484215807684	-1.6175340178392617e-6	19.816484215807684	-1.6175340178392617e-6
0.23825	19.858609837287005	-1.6254645576196936e-6	19.858609837287005	-1.6254645576196936e-6
0.23850000000000002	19.900887559331757	-1.6334363532877205e-6	19.900887559331757	-1.6334363532877205e-6
0.23875	19.94331787630017	-1.6414096499772768e-6	19.94331787630017	-1.6414096499772768e-6
0.23900000000000002	19.985901518887005	-1.6494264194477637e-6	19.985901518887005	-1.6494264194477637e-6
0.23925000000000002	20.028639121711812	-1.657461192294818e-6	20.028639121711812	-1.657461192294818e-6
0.2395	20.07153138872009	-1.6655209282845362e-6	20.07153138872009	-1.6655209282845362e-6
0.23975000000000002	20.114578925358238	-1.6736079651025193e-6	20.114578925358238	-1.6736079651025193e-6
0.24	20.157782384872945	-1.6817191870188708e-6	20.157782384872945	-1.6817191870188708e-6
0.24025000000000002	20.201142598593528	-1.689867421106328e-6	20.201142598593528	-1.689867421106328e-6
0.24050000000000002	20.244660029792776	-1.6980139800892857e-6	20.244660029792776	-1.6980139800892857e-6
0.24075	20.288335494115984	-1.7062214077157023e-6	20.288335494115984	-1.7062214077157023e-6
0.24100000000000002	20.33216968298355	-1.7144275492597671e-6	20.33216968298355	-1.7144275492597671e-6
0.24125	20.376163222397256	-1.7226840682837974e-6	20.376163222397256	-1.7226840682837974e-6
0.24150000000000002	20.420316801740235	-1.7309378339547266e-6	20.420316801740235	-1.7309378339547266e-6
0.24175	20.46463116691569	-1.7392484323863755e-6	20.46463116691569	-1.7392484323863755e-6
0.242	20.50910706669218	-1.7475741795891508e-6	20.50910706669218	-1.7475741795891508e-6
0.24225000000000002	20.553745062424184	-1.7559153544510764e-6	20.553745062424184	-1.7559153544510764e-6
0.2425	20.598545970774637	-1.7643171918990674e-6	20.598545970774637	-1.7643171918990674e-6
0.24275000000000002	20.64351047956967	-1.772707332037271e-6	20.64351047956967	-1.772707332037271e-6
0.243	20.68863931885914	-1.781151578228446e-6	20.68863931885914	-1.781151578228446e-6
0.24325	20.73393318942655	-1.7896186683685755e-6	20.73393318942655	-1.7896186683685755e-6
0.24350000000000002	20.779392839508652	-1.7981197082406197e-6	20.779392839508652	-1.7981197082406197e-6
0.24375	20.825018978177326	-1.8066264289018363e-6	20.825018978177326	-1.8066264289018363e-6
0.24400000000000002	20.87081232578742	-1.8151954268574855e-6	20.87081232578742	-1.8151954268574855e-6
0.24425	20.91677368337534	-1.8237565075907014e-6	20.91677368337534	-1.8237565075907014e-6
0.2445	20.96290376656702	-1.8323952311050107e-6	20.96290376656702	-1.8323952311050107e-6
0.24475000000000002	21.009203257963524	-1.8410092170739745e-6	21.009203257963524	-1.8410092170739745e-6
0.245	21.05567299999996	-1.8496949056867606e-6	21.05567299999996	-1.8496949056867606e-6
0.24525000000000002	21.102313776982314	-1.8583922987147616e-6	21.102313776982314	-1.8583922987147616e-6
0.2455	21.14912615926385	-1.8671192698604955e-6	21.14912615926385	-1.8671192698604955e-6
0.24575	21.196111133807634	-1.8758913356009543e-6	21.196111133807634	-1.8758913356009543e-6
0.246	21.243269375812666	-1.8846662932503477e-6	21.243269375812666	-1.8846662932503477e-6
0.24625	21.29060160750027	-1.8935041801171337e-6	21.29060160750027	-1.8935041801171337e-6
0.24650000000000002	21.338108701710535	-1.9023531603323818e-6	21.338108701710535	-1.9023531603323818e-6
0.24675	21.38579142707007	-1.9112407478871773e-6	21.38579142707007	-1.9112407478871773e-6
0.24700000000000003	21.433650502973855	-1.9201471310736906e-6	21.433650502973855	-1.9201471310736906e-6
0.24725	21.48168677516593	-1.929111537180006e-6	21.48168677516593	-1.929111537180006e-6
0.2475	21.529901071451444	-1.938086233721492e-6	21.529901071451444	-1.938086233721492e-6
0.24775000000000003	21.578294106106576	-1.9471025147765886e-6	21.578294106106576	-1.9471025147765886e-6
0.248	21.626866756182743	-1.9561364084097477e-6	21.626866756182743	-1.9561364084097477e-6
0.24825000000000003	21.67561978673078	-1.965232183209764e-6	21.67561978673078	-1.965232183209764e-6
0.2485	21.724554135317938	-1.974339157939653e-6	21.724554135317938	-1.974339157939653e-6
0.24875	21.773670430076763	-1.9834729911849536e-6	21.773670430076763	-1.9834729911849536e-6
0.24900000000000003	21.822969586036514	-1.9926611845022535e-6	21.822969586036514	-1.9926611845022535e-6
0.24925	21.87245254380811	-2.001876326929164e-6	21.87245254380811	-2.001876326929164e-6
0.24950000000000003	21.922119945439764	-2.0111115635046417e-6	21.922119945439764	-2.0111115635046417e-6
0.24975	21.971972775252688	-2.0204005632962208e-6	21.971972775252688	-2.0204005632962208e-6
0.25	22.022011826408843	-2.0297112204303858e-6	22.022011826408843	-2.0297112204303858e-6
0.25025	22.072237912938334	-2.0390511927814714e-6	22.072237912938334	-2.0390511927814714e-6
0.2505	22.122651978693977	-2.0484447045276966e-6	22.122651978693977	-2.0484447045276966e-6
0.25075000000000003	22.173254829122826	-2.0578598647347235e-6	22.173254829122826	-2.0578598647347235e-6
0.251	22.22404730977574	-2.067301419828027e-6	22.22404730977574	-2.067301419828027e-6
0.25125	22.275030321566835	-2.0768216302258224e-6	22.275030321566835	-2.0768216302258224e-6
0.2515	22.32620479166681	-2.0863119818415043e-6	22.32620479166681	-2.0863119818415043e-6
0.25175000000000003	22.377571528143818	-2.0958972530848996e-6	22.377571528143818	-2.0958972530848996e-6
0.252	22.4291313969617	-2.1054784227203527e-6	22.4291313969617	-2.1054784227203527e-6
0.25225000000000003	22.48088533205417	-2.1151124638407737e-6	22.48088533205417	-2.1151124638407737e-6
0.2525	22.53283432414098	-2.1248036929932823e-6	22.53283432414098	-2.1248036929932823e-6
0.25275	22.584979123750987	-2.1344718401650198e-6	22.584979123750987	-2.1344718401650198e-6
0.253	22.637320645600994	-2.1442513560288035e-6	22.637320645600994	-2.1442513560288035e-6
0.25325000000000003	22.68985997811668	-2.1540228729577393e-6	22.68985997811668	-2.1540228729577393e-6
0.2535	22.742597826939072	-2.163822044209951e-6	22.742597826939072	-2.163822044209951e-6
0.25375	22.795535200124448	-2.173697863483426e-6	22.795535200124448	-2.173697863483426e-6
0.254	22.848673166381886	-2.1835988821550245e-6	22.848673166381886	-2.1835988821550245e-6
0.25425000000000003	22.90201237380707	-2.1934973659654133e-6	22.90201237380707	-2.1934973659654133e-6
0.2545	22.9555539892241	-2.203518148391481e-6	22.9555539892241	-2.203518148391481e-6
0.25475000000000003	23.00929896960308	-2.213493393909971e-6	23.00929896960308	-2.213493393909971e-6
0.255	23.06324807744427	-2.22354346313125e-6	23.06324807744427	-2.22354346313125e-6
0.25525	23.11740244701451	-2.2336577885084807e-6	23.11740244701451	-2.2336577885084807e-6
0.2555	23.17176295722944	-2.243747012187214e-6	23.17176295722944	-2.243747012187214e-6
0.25575000000000003	23.226330643460958	-2.253951830510914e-6	23.226330643460958	-2.253951830510914e-6
0.25600000000000006	23.28110638463131	-2.2641408730095236e-6	23.28110638463131	-2.2641408730095236e-6
0.25625	23.336091270215107	-2.274389611756078e-6	23.336091270215107	-2.274389611756078e-6
0.2565	23.391286243435147	-2.2846960199274235e-6	23.391286243435147	-2.2846960199274235e-6
0.25675000000000003	23.446692246148544	-2.2949957649842645e-6	23.446692246148544	-2.2949957649842645e-6
0.257	23.502310366443865	-2.3053862872046693e-6	23.502310366443865	-2.3053862872046693e-6
0.25725	23.558141593310552	-2.3158051547511604e-6	23.558141593310552	-2.3158051547511604e-6
0.2575	23.61418684517266	-2.326229900262433e-6	23.61418684517266	-2.326229900262433e-6
0.25775	23.670447238752452	-2.336763028409905e-6	23.670447238752452	-2.336763028409905e-6
0.258	23.726923843387794	-2.3472817574088367e-6	23.726923843387794	-2.3472817574088367e-6
0.25825000000000004	23.7836174977816	-2.3578551928693514e-6	23.7836174977816	-2.3578551928693514e-6
0.2585	23.840529466381785	-2.3684999224116154e-6	23.840529466381785	-2.3684999224116154e-6
0.25875	23.89766065471086	-2.3791372978365644e-6	23.89766065471086	-2.3791372978365644e-6
0.259	23.95501208728762	-2.38986136835706e-6	23.95501208728762	-2.38986136835706e-6
0.25925000000000004	24.01258497612357	-2.4006270109566685e-6	24.01258497612357	-2.4006270109566685e-6
0.2595	24.07038022720713	-2.411385327860671e-6	24.07038022720713	-2.411385327860671e-6
0.25975	24.128398964631252	-2.422270076962718e-6	24.128398964631252	-2.422270076962718e-6
