theta	vel_limit	forward	backward	final
0.57775	2.9336868986824856	2.7610564018164907	2.901913560086159	2.7610564018164907
0.578	2.9395068792967574	2.7631698605113257	2.9000144464941076	2.7631698605113257
0.57825	2.945352001203277	2.7652719623804214	2.8981071240605654	2.7652719623804214
0.5785	2.951222404616404	2.7673628425561425	2.8961915189315204	2.7673628425561425
0.57875	2.957118230823399	2.7694426340940606	2.8942675564555422	2.7694426340940606
0.579	2.963039622181578	2.771511467996991	2.8923351611678276	2.771511467996991
0.57925	2.9689867221268815	2.7735694732571194	2.8903942567778476	2.7735694732571194
0.5795	2.9749596751887664	2.775616776907908	2.888444766158922	2.775616776907908
0.57975	2.9809586270044584	2.777653504040976	2.886486611337238	2.777653504040976
0.58	2.9869837243094692	2.7796797778632847	2.8845197134727005	2.7796797778632847
0.58025	2.9930351149776504	2.7816957197267387	2.8825439928561076	2.7816957197267387
0.5805	2.9991129480042087	2.7837014491553247	2.8805593688869253	2.7837014491553247
0.58075	3.0052173735325582	2.7856970838931194	2.878565760065476	2.7856970838931194
0.581	3.0113485428876734	2.7876827399251467	2.8765630839869347	2.7876827399251467
0.58125	3.0175066085142044	2.7896585315251947	2.874551257303349	2.7896585315251947
0.5815	3.0236917240693653	2.7916245712742724	2.872530195736934	2.7916245712742724
0.58175	3.029904044391566	2.7935809701032857	2.870499814051571	2.7935809701032857
0.582	3.0361437255204136	2.7955278373145944	2.8684600260412467	2.7955278373145944
0.58225	3.0424109247193907	2.7974652806136353	2.8664107445188662	2.7974652806136353
0.5825	3.04870580044053	2.7993934061498087	2.8643518812858053	2.7993934061498087
0.58275	3.0550285124190144	2.8013123185306688	2.862283347143751	2.8013123185306688
0.583	3.0613792216153017	2.8032221208558936	2.860205051856092	2.8032221208558936
0.58325	3.0677580902494905	2.80512291474525	2.858116904139321	2.80512291474525
0.5835	3.0741652818214966	2.8070148003727797	2.8560188116493705	2.8070148003727797
0.58375	3.0806009611162533	2.8088978764713053	2.8539106809626777	2.8088978764713053
0.584	3.0870652942180774	2.8107722403821516	2.851792417559887	2.8107722403821516
0.58425	3.093558448526162	2.8126379880689143	2.84966392580953	2.8126379880689143
0.5845	3.100080592752225	2.8144952141458135	2.8475251089455416	2.8144952141458135
0.58475	3.1066318969507254	2.8163440118959087	2.845375869054939	2.8163440118959087
0.585	3.113212532547263	2.8181844732953665	2.84321610706442	2.8181844732953665
0.58525	3.1198226723034126	2.8200166890491523	2.8410457227061086	2.8200166890491523
0.5855	3.1264624903645384	2.8218407486002217	2.838864614509657	2.8218407486002217
0.58575	3.1331321622823873	2.8236567401511343	2.8366726797856594	2.8236567401511343
0.586	3.139831865013157	2.825464750692145	2.834469814600819	2.825464750692145
0.58625	3.1465617769117737	2.8272648660213355	2.8322559137514856	2.8272648660213355
0.5865	3.146398559077542	2.8290571707665335	2.830030870754296	2.8290571707665335
0.58675	3.138293189138371	2.830841748399322	2.827794577823671	2.827794577823671
0.587	3.1302370613025907	2.832618681255552	2.8255469258452726	2.8255469258452726
0.58725	3.1222297515349218	2.834388050568067	2.8232878043516023	2.8232878043516023
0.5875	3.114270840616783	2.836149936465992	2.82101710151198	2.82101710151198
0.58775	3.1063599141175717	2.8379044180061657	2.818734704098557	2.818734704098557
0.588	3.0984965623124934	2.8396515731868166	2.816440497463189	2.816440497463189
0.58825	3.090680380133347	2.8413914789710017	2.8141343655286013	2.8141343655286013
